requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
22,0,0,0,0,292536,3419500,309,25,42
22,0,0,0,0,334821,3419500,305,23,40
22,0,0,0,0,281255,3419500,306,24,41
22,0,0,0,0,318367,3419500,306,22,39
22,0,0,0,0,289184,3419500,305,24,41
22,0,0,0,0,286814,3419500,305,26,43
22,0,0,0,0,331399,3419500,307,25,43
22,0,0,0,0,334984,3419500,305,22,39
22,0,0,0,0,274461,3419500,306,24,41
22,0,0,0,0,282480,3419500,305,24,42
22,0,0,0,0,284830,3419500,305,25,41
22,0,0,0,0,269438,3419500,307,24,41
22,0,0,0,0,300758,3419500,306,24,41
22,0,0,0,0,314549,3419500,305,23,40
22,0,0,0,0,282926,3419500,305,24,41
22,0,0,0,0,330407,3419500,306,25,42
22,0,0,0,0,244599,3419500,306,23,41
22,0,0,0,0,231800,3419500,306,24,40
22,0,0,0,0,320797,3419500,308,29,48
22,0,0,0,0,409511,3419500,305,23,40
22,0,0,0,0,275230,3419500,305,24,41
22,0,0,0,0,283685,3419500,306,22,39
22,0,0,0,0,298854,3419500,305,24,41
22,0,0,0,0,279574,3419500,306,22,41
22,0,0,0,0,284667,3419500,305,23,40
22,0,0,0,0,315238,3419500,305,24,41
22,0,0,0,0,314023,3419500,306,22,40
22,0,0,0,0,254502,3419500,306,24,42
22,0,0,0,0,328037,3419500,306,24,43
22,0,0,0,0,259312,3419500,306,25,43
22,0,0,0,0,312109,3419500,306,24,41
22,0,0,0,0,465061,3419500,306,23,41
22,0,0,0,0,259302,3419500,305,23,40
22,0,0,0,0,263423,3419500,305,26,43
22,0,0,0,0,275919,3419500,306,23,40
22,0,0,0,0,279574,3419500,307,23,40
22,0,0,0,0,304646,3419500,305,23,41
22,0,0,0,0,272344,3419500,305,24,42
22,0,0,0,0,270430,3419500,307,25,42
22,0,0,0,0,277367,3419500,307,24,41
22,0,0,0,0,298631,3419500,305,25,43
22,0,0,0,0,260517,3419500,306,24,42
22,0,0,0,0,275007,3419500,308,22,39
22,0,0,0,0,291088,3419500,305,22,39
22,0,0,0,0,268972,3419500,305,24,41
22,0,0,0,0,252295,3419500,305,22,39
22,0,0,0,0,288951,3419500,305,25,42
22,0,0,0,0,259302,3419500,308,23,41
22,0,0,0,0,256183,3419500,307,23,40
22,0,0,0,0,294054,3419500,306,24,41
