requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
5,0,0,0,0,7560,2311017,214,24,25
5,0,0,0,0,6112,2311017,215,29,31
5,0,0,0,0,9008,2311017,215,25,27
5,0,0,0,0,7327,2311017,214,23,25
5,0,0,0,0,7560,2311017,215,23,25
5,0,0,0,0,9008,2311017,214,23,25
5,0,0,0,0,10223,2311017,215,21,23
5,0,0,0,0,6513,2311185,215,22,24
5,0,0,0,0,7327,2311017,215,21,23
5,0,0,0,0,7327,2311017,215,24,25
5,0,0,0,0,7327,2311017,215,25,27
5,0,0,0,0,9990,2311017,214,22,23
5,0,0,0,0,5879,2311017,215,25,26
5,0,0,0,0,9008,2311017,215,23,24
5,0,0,0,0,7793,2311017,215,24,25
5,0,0,0,0,6112,2311017,214,23,24
5,0,0,0,0,6513,2311185,215,23,25
5,0,0,0,0,7560,2311017,214,23,24
5,0,0,0,0,7560,2311017,214,24,26
5,0,0,0,0,7560,2311017,214,23,25
5,0,0,0,0,16183,2311185,216,25,27
5,0,0,0,0,6345,2311017,213,25,27
5,0,0,0,0,7094,2311017,216,24,26
5,0,0,0,0,10391,2311185,218,23,25
5,0,0,0,0,7327,2311017,213,24,25
5,0,0,0,0,14334,2311017,216,24,26
5,0,0,0,0,7495,2311185,215,22,23
5,0,0,0,0,6345,2311017,215,22,24
5,0,0,0,0,8775,2311017,214,22,24
5,0,0,0,0,7793,2311017,214,23,25
5,0,0,0,0,7793,2311017,215,25,26
5,0,0,0,0,9008,2311017,214,24,25
5,0,0,0,0,13287,2311185,216,25,27
5,0,0,0,0,7560,2311017,213,24,25
5,0,0,0,0,6112,2311017,214,22,23
5,0,0,0,0,6345,2311017,214,22,24
5,0,0,0,0,10456,2311017,214,26,27
5,0,0,0,0,9008,2311017,213,24,25
5,0,0,0,0,9990,2311017,216,22,24
5,0,0,0,0,9176,2311185,214,23,24
5,0,0,0,0,7560,2311017,214,26,28
5,0,0,0,0,6345,2311017,213,23,25
5,0,0,0,0,9008,2311017,214,23,24
5,0,0,0,0,6345,2311017,214,22,24
5,0,0,0,0,6345,2311017,215,23,25
5,0,0,0,0,10456,2311017,213,22,23
5,0,0,0,0,6345,2311017,214,24,26
5,0,0,0,0,7560,2311017,215,23,25
5,0,0,0,0,10223,2311017,214,23,25
5,0,0,0,0,10857,2311185,215,24,26
