requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
14,0,0,0,0,152082,9876377,856,25,37
14,0,0,0,0,185902,9876377,936,24,36
14,0,0,0,0,216473,9876377,863,25,37
14,0,0,0,0,171888,9876377,862,22,34
14,0,0,0,0,201081,9876377,867,22,35
14,0,0,0,0,209233,9876377,863,23,35
14,0,0,0,0,161206,9876377,903,24,35
14,0,0,0,0,240320,9876377,1150,25,37
14,0,0,0,0,215714,9876377,1015,27,41
14,0,0,0,0,170906,9876377,990,23,35
14,0,0,0,0,224169,9876377,1042,23,34
14,0,0,0,0,220817,9876377,862,25,37
14,0,0,0,0,212362,9876377,960,24,36
14,0,0,0,0,213354,9876377,927,22,35
14,0,0,0,0,199633,9876377,863,24,37
14,0,0,0,0,209000,9876377,864,24,37
14,0,0,0,0,259670,9876377,863,22,35
14,0,0,0,0,249008,9876377,864,25,38
14,0,0,0,0,172354,9876377,863,25,37
14,0,0,0,0,244511,9876377,864,23,36
14,0,0,0,0,226832,9876377,948,24,36
14,0,0,0,0,212665,9876377,968,23,35
14,0,0,0,0,233849,9876377,980,24,36
14,0,0,0,0,196737,9876377,966,25,38
14,0,0,0,0,196504,9876377,1009,25,38
14,0,0,0,0,202529,9876377,1296,24,36
14,0,0,0,0,211217,9876377,1256,23,35
14,0,0,0,0,189497,9876377,988,26,39
14,0,0,0,0,212665,9876377,862,23,36
14,0,0,0,0,207785,9876377,999,23,36
14,0,0,0,0,185902,9876377,862,23,35
14,0,0,0,0,225617,9876377,864,23,35
14,0,0,0,0,173569,9876377,863,24,37
14,0,0,0,0,228746,9876377,863,23,35
14,0,0,0,0,216017,9876377,1399,22,34
14,0,0,0,0,160770,9876377,969,24,36
14,0,0,0,0,250689,9876377,970,26,38
14,0,0,0,0,244208,9876377,864,23,35
14,0,0,0,0,181498,9876377,893,24,36
14,0,0,0,0,230953,9876377,863,22,35
14,0,0,0,0,223783,9876377,867,24,37
14,0,0,0,0,216473,9876377,863,24,36
14,0,0,0,0,177913,9876377,864,22,35
14,0,0,0,0,169225,9876377,863,23,35
14,0,0,0,0,232168,9876377,864,23,36
14,0,0,0,0,184454,9876377,864,22,35
14,0,0,0,0,195745,9876377,863,23,35
14,0,0,0,0,195289,9876377,917,23,36
14,0,0,0,0,181042,9876377,903,23,35
14,0,0,0,0,218680,9876377,862,24,36
